"id_str","time_UTC","time_East_US","local_hour","afinn_score","bing_positive","bing_negative","bing_nett"
554792193526071296,2015-01-13 00:09:01,2015-01-12 19:09:01,19,-1,NA,NA,NA
554806427341299712,2015-01-13 01:05:34,2015-01-12 20:05:34,20,3,1,0,1
554812468829376512,2015-01-13 01:29:35,2015-01-12 20:29:35,20,0,NA,NA,NA
554816610712956928,2015-01-13 01:46:02,2015-01-12 20:46:02,20,-2,NA,NA,NA
554820095776927744,2015-01-13 01:59:53,2015-01-12 20:59:53,20,-2,NA,NA,NA
554829408448831488,2015-01-13 02:36:53,2015-01-12 21:36:53,21,3,1,0,1
554835235876384768,2015-01-13 03:00:03,2015-01-12 22:00:03,22,3,1,0,1
559463115235295232,2015-01-25 21:29:35,2015-01-25 16:29:35,16,-2,0,1,-1
562414915625832448,2015-02-03 00:58:59,2015-02-02 19:58:59,19,3,2,0,2
585088423834312704,2015-04-06 14:35:25,2015-04-06 10:35:25,10,0,1,3,-2
586261637595791360,2015-04-09 20:17:21,2015-04-09 16:17:21,16,4,3,0,3
615302294847029248,2015-06-28 23:34:33,2015-06-28 19:34:33,19,-1.16666666666667,0,2,-2
615328534215696384,2015-06-29 01:18:49,2015-06-28 21:18:49,21,1.5,2,0,2
617112173186314240,2015-07-03 23:26:22,2015-07-03 19:26:22,19,-0.5,1,2,-1
617112869302366208,2015-07-03 23:29:08,2015-07-03 19:29:08,19,1.33333333333333,2,0,2
620034067644481536,2015-07-12 00:56:56,2015-07-11 20:56:56,20,-0.5,1,1,0
620337666912059392,2015-07-12 21:03:19,2015-07-12 17:03:19,17,-1,0,2,-2
620339062055010304,2015-07-12 21:08:52,2015-07-12 17:08:52,17,-1,1,3,-2
620388576765870080,2015-07-13 00:25:37,2015-07-12 20:25:37,20,-2,0,1,-1
622082571816538112,2015-07-17 16:36:57,2015-07-17 12:36:57,12,1,NA,NA,NA
626587420843229184,2015-07-30 02:57:37,2015-07-29 22:57:37,22,NA,2,0,2
626587800574521344,2015-07-30 02:59:07,2015-07-29 22:59:07,22,3,1,0,1
626904854900928512,2015-07-30 23:58:59,2015-07-30 19:58:59,19,2,1,0,1
626905352508981248,2015-07-31 00:00:58,2015-07-30 20:00:58,20,2,1,0,1
629509392468209664,2015-08-07 04:28:29,2015-08-07 00:28:29,0,3,3,0,3
629518315711500288,2015-08-07 05:03:57,2015-08-07 01:03:57,1,2.33333333333333,3,0,3
629520356487864320,2015-08-07 05:12:03,2015-08-07 01:12:03,1,0,2,1,1
629649968693968896,2015-08-07 13:47:05,2015-08-07 09:47:05,9,-2,1,0,1
630007166129303552,2015-08-08 13:26:28,2015-08-08 09:26:28,9,-0.6,1,3,-2
634188984097337344,2015-08-20 02:23:31,2015-08-19 22:23:31,22,2.5,2,0,2
634191811930628096,2015-08-20 02:34:45,2015-08-19 22:34:45,22,2.5,2,0,2
634939783257661440,2015-08-22 04:06:55,2015-08-22 00:06:55,0,2.75,4,0,4
636252027878789120,2015-08-25 19:01:19,2015-08-25 15:01:19,15,1,2,1,1
636263744247623680,2015-08-25 19:47:52,2015-08-25 15:47:52,15,2.5,2,0,2
641277106052300800,2015-09-08 15:49:11,2015-09-08 11:49:11,11,3,3,0,3
642449487768776704,2015-09-11 21:27:48,2015-09-11 17:27:48,17,2,1,0,1
642455022647812096,2015-09-11 21:49:48,2015-09-11 17:49:48,17,2.66666666666667,3,0,3
642464897889095680,2015-09-11 22:29:02,2015-09-11 18:29:02,18,4,1,0,1
642725315777798144,2015-09-12 15:43:51,2015-09-12 11:43:51,11,2.5,3,0,3
642727277755805696,2015-09-12 15:51:38,2015-09-12 11:51:38,11,-1,0,1,-1
642729073211523072,2015-09-12 15:58:47,2015-09-12 11:58:47,11,1,1,0,1
642788749030608896,2015-09-12 19:55:54,2015-09-12 15:55:54,15,0.5,1,0,1
642788935530344448,2015-09-12 19:56:39,2015-09-12 15:56:39,15,NA,2,0,2
642802749420216320,2015-09-12 20:51:32,2015-09-12 16:51:32,16,1,1,1,0
644356882174476288,2015-09-17 03:47:06,2015-09-16 23:47:06,23,4,1,0,1
644358678431334400,2015-09-17 03:54:15,2015-09-16 23:54:15,23,4,2,0,2
645415231028641792,2015-09-20 01:52:36,2015-09-19 21:52:36,21,2,4,0,4
646007796593467392,2015-09-21 17:07:15,2015-09-21 13:07:15,13,NA,1,0,1
646015739233705984,2015-09-21 17:38:49,2015-09-21 13:38:49,13,3,1,0,1
646857054691414016,2015-09-24 01:21:54,2015-09-23 21:21:54,21,-1,1,2,-1
646857325240827904,2015-09-24 01:22:59,2015-09-23 21:22:59,21,-1.5,0,2,-2
647163962337964032,2015-09-24 21:41:27,2015-09-24 17:41:27,17,0,0,1,-1
